年別,女性,男性,女性大專院校,男性大專院校,女性高級中等學校,男性高級中等學校,女性高級中等學校普通科,男性高級中等學校普通科,女性高級中等學校綜合高中,男性高級中等學校綜合高中,女性高級中等學校專業群職業科,男性高級中等學校專業群職業科,女性高級中等學校實用技能學程,男性高級中等學校實用技能學程,女性高級中等學校進修部學校,男性高級中等學校進修部學校,女性特殊學校,男性特殊學校,女性特殊學校國中,男性特殊學校國中,女性特殊學校國小,男性特殊學校國小,女性特殊學校國中補校,男性特殊學校國中補校,女性特殊學校國小補校,男性特殊學校國小補校
2013年,242010,259304,32.81,30.38,19.16,21.28,7.49,7.40,1.55,1.46,7.63,9.35,1.47,1.76,1.02,1.31,0.10,0.18,18.66,18.96,28.71,29.15,0.26,0.04,0.30,0.01
2014年,235312,251688,33.98,31.38,18.59,20.61,7.39,7.30,1.38,1.33,7.45,9.15,1.41,1.60,0.97,1.24,0.10,0.17,18.42,18.87,28.44,28.93,0.23,0.04,0.24,0.01
2015年,227637,243057,35.05,32.30,18.39,20.66,7.65,7.48,1.15,1.18,7.38,9.37,1.30,1.46,0.91,1.17,0.11,0.18,17.58,17.91,28.42,28.90,0.24,0.04,0.21,0.01
2016年,219979,233615,35.96,32.92,18.58,20.94,7.97,7.77,1.03,1.03,7.53,9.74,1.24,1.40,0.82,1.00,0.11,0.18,16.56,17.01,28.36,28.90,0.25,0.03,0.18,0.01
2017年,212458,225605,36.23,33.10,18.44,20.94,8.26,8.03,0.73,0.80,7.55,9.85,1.16,1.38,0.74,0.88,0.12,0.18,16.30,16.74,28.46,29.00,0.24,0.03,0.20,0.01
2018年,206498,219477,36.18,33.27,17.74,20.09,8.17,7.91,0.46,0.54,7.37,9.57,1.10,1.29,0.63,0.78,0.11,0.18,16.07,16.48,29.45,29.94,0.25,0.03,0.20,0.01
2019年,201813,214512,36.16,33.54,16.80,19.06,7.93,7.81,0.23,0.35,7.07,9.13,0.98,1.08,0.59,0.70,0.10,0.17,16.03,16.42,30.48,30.77,0.22,0.03,0.20,0.01
2020年,198065,209682,36.21,33.56,16.24,18.47,7.80,7.85,0.20,0.30,6.85,8.85,0.89,0.86,0.50,0.60,0.09,0.17,15.97,16.42,31.07,31.36,0.22,0.02,0.20,0.01
2021年,195729,207992,36.14,33.70,15.90,17.94,7.72,7.88,0.21,0.30,6.62,8.44,0.85,0.77,0.49,0.54,0.09,0.16,15.79,16.08,31.73,32.09,0.19,0.02,0.16,0.01
2022年,192224,203916,35.36,32.86,15.64,17.65,7.85,8.00,0.22,0.28,6.36,8.18,0.81,0.72,0.41,0.48,0.09,0.16,15.35,15.51,33.25,33.80,0.18,0.01,0.13,0.01
